ORTHOMCL0	NP_001001411.2_HUMAN
ORTHOMCL1762	NP_001280227.1_HUMAN
ORTHOMCL1763	NP_001305837.1_HUMAN
ORTHOMCL1764	NP_938080.1_HUMAN
ORTHOMCL1765	NP_002476.2_HUMAN
ORTHOMCL1766	XP_011508441.1_HUMAN
ORTHOMCL1767	NP_001116698.1_HUMAN
ORTHOMCL1769	NP_001653.1_HUMAN
ORTHOMCL1770	NP_073587.1_HUMAN
ORTHOMCL1771	NP_001032238.1_HUMAN
ORTHOMCL1772	NP_001017536.1_HUMAN
ORTHOMCL1773	NP_003346.2_HUMAN
ORTHOMCL1774	NP_031391.2_HUMAN
ORTHOMCL1775	XP_016869359.1_HUMAN
ORTHOMCL1776	XP_011519338.1_HUMAN
ORTHOMCL1777	NP_056170.2_HUMAN
ORTHOMCL1778	XP_016857758.1_HUMAN
ORTHOMCL1779	NP_037489.1_HUMAN
ORTHOMCL1780	XP_016878708.1_HUMAN
ORTHOMCL1781	NP_001093869.1_HUMAN
ORTHOMCL1782	XP_011512558.1_HUMAN
ORTHOMCL1784	NP_663768.1_HUMAN
ORTHOMCL1785	NP_003162.2_HUMAN
ORTHOMCL1786	XP_011532413.1_HUMAN
ORTHOMCL1787	XP_011541172.1_HUMAN
ORTHOMCL1788	NP_653267.2_HUMAN
ORTHOMCL1789	NP_001026871.1_HUMAN
ORTHOMCL1790	XP_016870419.1_HUMAN
ORTHOMCL1791	XP_011539331.1_HUMAN
ORTHOMCL1792	NP_056276.1_HUMAN
ORTHOMCL1793	NP_149053.1_HUMAN
ORTHOMCL1794	NP_001281267.1_HUMAN
ORTHOMCL1795	NP_056062.1_HUMAN
ORTHOMCL1796	XP_005257846.2_HUMAN
ORTHOMCL1797	XP_011512881.1_HUMAN
ORTHOMCL1798	NP_001017395.2_HUMAN
ORTHOMCL1799	NP_067052.2_HUMAN
ORTHOMCL1800	NP_001073884.1_HUMAN
ORTHOMCL1801	XP_011543214.1_HUMAN
ORTHOMCL1802	XP_005247338.1_HUMAN
ORTHOMCL1803	NP_001153880.1_HUMAN
ORTHOMCL1804	XP_011534669.1_HUMAN
ORTHOMCL1805	NP_001138648.1_HUMAN
ORTHOMCL1806	NP_006485.2_HUMAN
ORTHOMCL1807	NP_005348.2_HUMAN
ORTHOMCL1808	XP_011509173.1_HUMAN
ORTHOMCL1810	NP_000073.1_HUMAN
ORTHOMCL1811	XP_011530431.1_HUMAN
ORTHOMCL1812	NP_001278796.1_HUMAN
ORTHOMCL1813	XP_011516306.1_HUMAN
ORTHOMCL1814	NP_037431.3_HUMAN
ORTHOMCL1815	NP_114110.1_HUMAN
ORTHOMCL1817	NP_037418.3_HUMAN
ORTHOMCL1818	NP_066363.1_HUMAN
ORTHOMCL1819	NP_443124.3_HUMAN
ORTHOMCL1820	NP_653213.6_HUMAN
ORTHOMCL1821	XP_016857363.1_HUMAN
ORTHOMCL1822	NP_001157683.1_HUMAN
ORTHOMCL1823	XP_005274689.2_HUMAN
ORTHOMCL1824	NP_056404.4_HUMAN
ORTHOMCL1825	NP_004630.3_HUMAN
ORTHOMCL1826	NP_002709.2_HUMAN
ORTHOMCL1827	NP_000148.2_HUMAN
ORTHOMCL1828	NP_588613.2_HUMAN
ORTHOMCL1829	XP_005255509.1_HUMAN
ORTHOMCL1830	XP_011543581.1_HUMAN
ORTHOMCL1831	XP_005271538.1_HUMAN
ORTHOMCL1832	NP_001167540.1_HUMAN
ORTHOMCL1833	NP_848591.2_HUMAN
ORTHOMCL1834	NP_053585.1_HUMAN
ORTHOMCL1835	NP_000261.2_HUMAN
ORTHOMCL1836	NP_056239.3_HUMAN
ORTHOMCL1837	XP_011516106.1_HUMAN
ORTHOMCL1839	NP_060506.5_HUMAN
ORTHOMCL1840	NP_001278760.1_HUMAN
ORTHOMCL1842	NP_001098992.1_HUMAN
ORTHOMCL1843	NP_001006117.2_HUMAN
ORTHOMCL1849	XP_016873572.1_HUMAN
ORTHOMCL1850	NP_060712.2_HUMAN
ORTHOMCL1851	NP_001268387.1_HUMAN
ORTHOMCL1853	NP_001138890.1_HUMAN
ORTHOMCL1854	XP_005266840.1_HUMAN
ORTHOMCL1855	NP_001310303.1_HUMAN
ORTHOMCL1856	NP_002516.2_HUMAN
ORTHOMCL1857	XP_011528435.1_HUMAN
ORTHOMCL1860	NP_055400.1_HUMAN
ORTHOMCL1861	XP_005268052.1_HUMAN
ORTHOMCL1862	NP_005262.1_HUMAN
ORTHOMCL1863	NP_078857.5_HUMAN
ORTHOMCL1864	NP_631913.3_HUMAN
ORTHOMCL1865	NP_001298127.1_HUMAN
ORTHOMCL1866	NP_005856.1_HUMAN
ORTHOMCL1867	NP_000337.1_HUMAN
ORTHOMCL1868	NP_000958.1_HUMAN
ORTHOMCL1869	NP_005735.2_HUMAN
ORTHOMCL1870	XP_016870050.1_HUMAN
ORTHOMCL1871	NP_036257.1_HUMAN
ORTHOMCL1872	NP_116179.2_HUMAN
ORTHOMCL1873	NP_056464.1_HUMAN
ORTHOMCL1874	NP_001299602.1_HUMAN
ORTHOMCL1876	NP_115810.2_HUMAN
ORTHOMCL1877	XP_005268550.1_HUMAN
ORTHOMCL1878	NP_006584.1_HUMAN
ORTHOMCL1879	NP_001510.2_HUMAN
ORTHOMCL1880	NP_057038.2_HUMAN
ORTHOMCL1881	NP_006776.1_HUMAN
ORTHOMCL1882	XP_016882391.1_HUMAN
ORTHOMCL1883	NP_003046.2_HUMAN
ORTHOMCL1884	NP_001280157.1_HUMAN
ORTHOMCL1885	NP_001177779.1_HUMAN
ORTHOMCL1886	XP_016866087.1_HUMAN
ORTHOMCL1887	NP_004547.2_HUMAN
ORTHOMCL1888	XP_011517227.1_HUMAN
ORTHOMCL1889	NP_001790.1_HUMAN
ORTHOMCL1890	NP_071337.2_HUMAN
ORTHOMCL1891	XP_005257700.1_HUMAN
ORTHOMCL1892	NP_001830.1_HUMAN
ORTHOMCL1893	NP_612635.3_HUMAN
ORTHOMCL1894	NP_733745.1_HUMAN
ORTHOMCL1895	NP_004411.2_HUMAN
ORTHOMCL1896	NP_004131.3_HUMAN
ORTHOMCL1897	XP_011534382.1_HUMAN
ORTHOMCL1898	NP_003807.1_HUMAN
ORTHOMCL1899	NP_444272.1_HUMAN
ORTHOMCL1901	NP_060668.2_HUMAN
ORTHOMCL1902	NP_003271.1_HUMAN
ORTHOMCL1903	XP_005268261.1_HUMAN
ORTHOMCL1904	NP_000249.1_HUMAN
ORTHOMCL1905	NP_909122.1_HUMAN
ORTHOMCL1906	NP_874359.2_HUMAN
ORTHOMCL1907	XP_005263505.1_HUMAN
ORTHOMCL1908	NP_064555.2_HUMAN
ORTHOMCL1909	NP_079029.3_HUMAN
ORTHOMCL1910	NP_000207.2_HUMAN
ORTHOMCL1912	NP_003202.3_HUMAN
ORTHOMCL1913	NP_001721.2_HUMAN
ORTHOMCL1914	XP_016856002.1_HUMAN
ORTHOMCL1915	XP_005265056.1_HUMAN
ORTHOMCL1916	NP_009138.1_HUMAN
ORTHOMCL1917	NP_005255.1_HUMAN
ORTHOMCL1918	NP_004954.2_HUMAN
ORTHOMCL1919	XP_005259716.1_HUMAN
ORTHOMCL1920	NP_078808.3_HUMAN
ORTHOMCL1921	NP_001004019.1_HUMAN
ORTHOMCL1922	XP_016857598.1_HUMAN
ORTHOMCL1923	XP_011520423.1_HUMAN
ORTHOMCL1924	NP_065574.3_HUMAN
ORTHOMCL1925	NP_056273.2_HUMAN
ORTHOMCL1926	NP_001107578.1_HUMAN
ORTHOMCL1927	XP_011516871.1_HUMAN
ORTHOMCL1928	NP_987096.1_HUMAN
ORTHOMCL1929	NP_001171107.1_HUMAN
ORTHOMCL1930	NP_001095124.1_HUMAN
ORTHOMCL1931	NP_001276.2_HUMAN
ORTHOMCL1932	XP_016877488.1_HUMAN
ORTHOMCL1933	NP_001428.1_HUMAN
ORTHOMCL1934	NP_000781.1_HUMAN
ORTHOMCL1935	XP_006719591.1_HUMAN
ORTHOMCL1936	XP_016873669.1_HUMAN
ORTHOMCL1937	XP_005245324.2_HUMAN
ORTHOMCL1938	NP_065789.1_HUMAN
ORTHOMCL1939	NP_001094064.1_HUMAN
ORTHOMCL1940	NP_001269356.1_HUMAN
ORTHOMCL1941	XP_016878760.1_HUMAN
ORTHOMCL1942	NP_000095.2_HUMAN
ORTHOMCL1943	NP_004562.2_HUMAN
ORTHOMCL1944	XP_016866294.1_HUMAN
ORTHOMCL1945	NP_001311313.1_HUMAN
ORTHOMCL1946	NP_060526.2_HUMAN
ORTHOMCL1947	NP_001609.2_HUMAN
ORTHOMCL1948	NP_057331.2_HUMAN
ORTHOMCL1949	XP_011543629.1_HUMAN
ORTHOMCL1950	XP_011522506.1_HUMAN
ORTHOMCL1951	NP_002731.4_HUMAN
ORTHOMCL1952	NP_076994.2_HUMAN
ORTHOMCL1953	NP_055271.2_HUMAN
ORTHOMCL1954	NP_073740.2_HUMAN
ORTHOMCL1955	XP_011511184.1_HUMAN
ORTHOMCL1956	NP_000738.2_HUMAN
ORTHOMCL1957	NP_001292353.1_HUMAN
ORTHOMCL1958	NP_002067.1_HUMAN
ORTHOMCL1959	NP_001686.1_HUMAN
ORTHOMCL1960	NP_002379.3_HUMAN
ORTHOMCL1961	NP_612208.1_HUMAN
ORTHOMCL1962	NP_008977.1_HUMAN
ORTHOMCL1963	NP_001033692.2_HUMAN
ORTHOMCL1964	NP_001182484.1_HUMAN
ORTHOMCL1965	NP_066923.3_HUMAN
ORTHOMCL1966	XP_006723008.1_HUMAN
ORTHOMCL1967	XP_011517281.1_HUMAN
ORTHOMCL1968	NP_001011718.1_HUMAN
ORTHOMCL1969	XP_016856853.1_HUMAN
ORTHOMCL1970	NP_003394.1_HUMAN
ORTHOMCL1971	XP_016871770.1_HUMAN
ORTHOMCL1972	NP_000091.1_HUMAN
ORTHOMCL1973	NP_004615.2_HUMAN
ORTHOMCL1974	NP_015556.1_HUMAN
ORTHOMCL1975	NP_057525.1_HUMAN
ORTHOMCL1976	XP_006715708.1_HUMAN
ORTHOMCL1977	NP_001530.1_HUMAN
ORTHOMCL1978	XP_016872946.1_HUMAN
ORTHOMCL1979	NP_008998.1_HUMAN
ORTHOMCL1980	NP_001041659.1_HUMAN
ORTHOMCL1981	NP_065944.2_HUMAN
ORTHOMCL1982	NP_001004358.1_HUMAN
ORTHOMCL1983	NP_055105.2_HUMAN
ORTHOMCL1984	NP_006015.4_HUMAN
ORTHOMCL1985	NP_000071.1_HUMAN
ORTHOMCL1986	XP_011508854.1_HUMAN
ORTHOMCL1987	NP_006265.1_HUMAN
ORTHOMCL1988	NP_001274679.1_HUMAN
ORTHOMCL1989	NP_000788.2_HUMAN
ORTHOMCL1990	XP_006720482.1_HUMAN
ORTHOMCL1991	NP_001273113.1_HUMAN
ORTHOMCL1992	XP_011515565.1_HUMAN
ORTHOMCL1994	XP_005261665.1_HUMAN
ORTHOMCL1995	XP_011535490.1_HUMAN
ORTHOMCL1996	NP_000902.3_HUMAN
ORTHOMCL1997	NP_001271237.1_HUMAN
ORTHOMCL1998	NP_076917.1_HUMAN
ORTHOMCL1999	NP_006182.2_HUMAN
ORTHOMCL2000	NP_001304712.1_HUMAN
ORTHOMCL2001	XP_011530070.1_HUMAN
ORTHOMCL2002	NP_001271188.1_HUMAN
ORTHOMCL2003	XP_016858442.1_HUMAN
ORTHOMCL2004	NP_001305773.1_HUMAN
ORTHOMCL2005	NP_000578.2_HUMAN
ORTHOMCL2006	NP_001138912.2_HUMAN
ORTHOMCL2007	NP_277045.1_HUMAN
ORTHOMCL2008	NP_003174.3_HUMAN
ORTHOMCL2009	NP_001295140.1_HUMAN
ORTHOMCL2010	NP_004896.1_HUMAN
ORTHOMCL2011	NP_071413.1_HUMAN
ORTHOMCL2012	NP_001243725.1_HUMAN
ORTHOMCL2013	NP_000697.1_HUMAN
ORTHOMCL2014	XP_005263436.1_HUMAN
ORTHOMCL2015	NP_612191.1_HUMAN
ORTHOMCL2016	NP_848632.2_HUMAN
ORTHOMCL2017	NP_001289958.1_HUMAN
ORTHOMCL2018	NP_001026904.2_HUMAN
ORTHOMCL2020	NP_066190.2_HUMAN
ORTHOMCL2021	NP_604391.1_HUMAN
ORTHOMCL2022	NP_116321.2_HUMAN
ORTHOMCL2023	NP_001295.2_HUMAN
ORTHOMCL2024	XP_006724511.2_HUMAN
ORTHOMCL2025	XP_011534752.1_HUMAN
ORTHOMCL2026	XP_005249135.2_HUMAN
ORTHOMCL2027	XP_005245422.1_HUMAN
ORTHOMCL2029	XP_016873026.1_HUMAN
ORTHOMCL2030	XP_016856248.1_HUMAN
ORTHOMCL2031	NP_001229783.1_HUMAN
ORTHOMCL2032	NP_000173.2_HUMAN
ORTHOMCL2034	NP_001129580.2_HUMAN
ORTHOMCL2035	NP_056018.2_HUMAN
ORTHOMCL2036	NP_877435.3_HUMAN
ORTHOMCL2037	NP_065991.3_HUMAN
ORTHOMCL2038	NP_001185923.1_HUMAN
ORTHOMCL2039	NP_001139266.1_HUMAN
ORTHOMCL2041	XP_005254498.1_HUMAN
ORTHOMCL2042	XP_011538671.1_HUMAN
ORTHOMCL2043	NP_775483.1_HUMAN
ORTHOMCL2044	NP_001006606.2_HUMAN
ORTHOMCL2045	XP_011527753.1_HUMAN
ORTHOMCL2046	XP_011534642.1_HUMAN
ORTHOMCL2047	NP_579875.1_HUMAN
ORTHOMCL2048	NP_036394.1_HUMAN
ORTHOMCL2049	XP_011519249.1_HUMAN
ORTHOMCL2050	XP_011508533.1_HUMAN
ORTHOMCL2051	NP_036436.1_HUMAN
ORTHOMCL2052	XP_005271772.1_HUMAN
ORTHOMCL2053	XP_005250310.1_HUMAN
ORTHOMCL2054	NP_640338.2_HUMAN
ORTHOMCL2055	XP_006712157.1_HUMAN
ORTHOMCL2056	NP_001804.2_HUMAN
ORTHOMCL2057	NP_001036004.1_HUMAN
ORTHOMCL2058	NP_002596.1_HUMAN
ORTHOMCL2059	XP_005254222.1_HUMAN
ORTHOMCL2060	NP_036469.2_HUMAN
ORTHOMCL2062	XP_016867428.1_HUMAN
ORTHOMCL2063	NP_037379.1_HUMAN
ORTHOMCL2064	XP_005246079.1_HUMAN
ORTHOMCL2065	NP_001294868.1_HUMAN
ORTHOMCL2066	XP_006713750.1_HUMAN
ORTHOMCL2067	NP_003836.1_HUMAN
ORTHOMCL2068	XP_016882044.1_HUMAN
ORTHOMCL2069	NP_004798.3_HUMAN
ORTHOMCL2070	XP_011532707.1_HUMAN
ORTHOMCL2071	NP_001008938.1_HUMAN
ORTHOMCL2072	XP_016861776.1_HUMAN
ORTHOMCL2073	NP_115805.1_HUMAN
ORTHOMCL2075	XP_011536130.1_HUMAN
ORTHOMCL2076	NP_065970.2_HUMAN
ORTHOMCL2077	NP_066191.1_HUMAN
ORTHOMCL2079	NP_001014447.1_HUMAN
ORTHOMCL2081	NP_443078.1_HUMAN
ORTHOMCL2082	NP_001073879.2_HUMAN
ORTHOMCL2083	NP_002421.3_HUMAN
ORTHOMCL2084	NP_060363.2_HUMAN
ORTHOMCL2085	XP_011527126.1_HUMAN
ORTHOMCL2086	NP_001182192.1_HUMAN
ORTHOMCL2087	NP_001138462.1_HUMAN
ORTHOMCL2088	NP_001107605.1_HUMAN
ORTHOMCL2089	XP_011523115.1_HUMAN
ORTHOMCL2090	NP_000983.1_HUMAN
ORTHOMCL2091	XP_005273466.1_HUMAN
ORTHOMCL2092	NP_689522.2_HUMAN
ORTHOMCL2093	NP_001166245.1_HUMAN
ORTHOMCL2094	NP_000508.1_HUMAN
ORTHOMCL2095	XP_011525996.1_HUMAN
ORTHOMCL2096	NP_001010924.1_HUMAN
ORTHOMCL2097	NP_001278253.1_HUMAN
ORTHOMCL2100	NP_001161403.1_HUMAN
ORTHOMCL2101	NP_000228.1_HUMAN
ORTHOMCL2102	NP_001244918.1_HUMAN
ORTHOMCL2103	XP_011531724.1_HUMAN
ORTHOMCL2104	XP_016856401.1_HUMAN
ORTHOMCL2105	NP_115515.2_HUMAN
ORTHOMCL2106	NP_001188326.1_HUMAN
ORTHOMCL2107	NP_005447.1_HUMAN
ORTHOMCL2108	NP_002232.2_HUMAN
ORTHOMCL2109	NP_001157935.1_HUMAN
ORTHOMCL2110	NP_001284368.1_HUMAN
ORTHOMCL2111	NP_000558.2_HUMAN
ORTHOMCL2112	NP_776255.2_HUMAN
ORTHOMCL2114	NP_001005274.1_HUMAN
ORTHOMCL2116	NP_001032590.2_HUMAN
ORTHOMCL2117	NP_001033729.2_HUMAN
ORTHOMCL2119	NP_004246.2_HUMAN
ORTHOMCL2120	NP_003120.2_HUMAN
ORTHOMCL2123	NP_001073860.1_HUMAN
ORTHOMCL2124	NP_001257327.1_HUMAN
ORTHOMCL2125	NP_003453.2_HUMAN
ORTHOMCL2127	NP_955805.1_HUMAN
ORTHOMCL2128	NP_001035263.1_HUMAN
ORTHOMCL2129	XP_011531878.1_HUMAN
ORTHOMCL2130	XP_016879524.1_HUMAN
ORTHOMCL2131	NP_008976.1_HUMAN
ORTHOMCL2132	NP_001002860.2_HUMAN
ORTHOMCL2133	NP_001002858.1_HUMAN
ORTHOMCL2134	NP_110398.1_HUMAN
ORTHOMCL2135	NP_001960.2_HUMAN
ORTHOMCL2136	XP_011509100.1_HUMAN
ORTHOMCL2137	NP_006557.2_HUMAN
ORTHOMCL2138	NP_006653.2_HUMAN
ORTHOMCL2139	NP_640341.1_HUMAN
ORTHOMCL2140	NP_064582.2_HUMAN
ORTHOMCL2141	XP_011526519.1_HUMAN
ORTHOMCL2142	NP_078958.2_HUMAN
ORTHOMCL2143	NP_004424.3_HUMAN
ORTHOMCL2144	NP_006256.1_HUMAN
ORTHOMCL2145	NP_000867.2_HUMAN
ORTHOMCL2146	XP_011541518.1_HUMAN
ORTHOMCL2147	NP_722523.1_HUMAN
ORTHOMCL2148	NP_079436.4_HUMAN
ORTHOMCL2149	NP_001305426.1_HUMAN
ORTHOMCL2150	NP_065070.1_HUMAN
ORTHOMCL2151	NP_002458.2_HUMAN
ORTHOMCL2152	XP_005270035.1_HUMAN
ORTHOMCL2153	NP_004263.1_HUMAN
ORTHOMCL2154	XP_011514934.1_HUMAN
ORTHOMCL2155	NP_057736.4_HUMAN
ORTHOMCL2156	NP_077744.3_HUMAN
ORTHOMCL2157	NP_085048.1_HUMAN
ORTHOMCL2158	NP_857595.3_HUMAN
ORTHOMCL2159	NP_004835.2_HUMAN
ORTHOMCL2160	NP_861449.2_HUMAN
ORTHOMCL2161	NP_037368.1_HUMAN
ORTHOMCL2162	NP_037495.1_HUMAN
ORTHOMCL2163	NP_060757.4_HUMAN
ORTHOMCL2164	XP_011531167.1_HUMAN
ORTHOMCL2165	XP_005245493.1_HUMAN
ORTHOMCL2166	NP_938015.1_HUMAN
ORTHOMCL2167	NP_006069.1_HUMAN
ORTHOMCL2169	XP_011515093.1_HUMAN
ORTHOMCL2170	NP_001306889.1_HUMAN
ORTHOMCL2171	NP_060392.3_HUMAN
ORTHOMCL2172	NP_066000.2_HUMAN
ORTHOMCL2173	NP_004514.2_HUMAN
ORTHOMCL2174	XP_006710735.1_HUMAN
ORTHOMCL2175	XP_016862047.1_HUMAN
ORTHOMCL2176	XP_005274206.1_HUMAN
ORTHOMCL2177	NP_742034.1_HUMAN
ORTHOMCL2178	NP_001171506.1_HUMAN
ORTHOMCL2179	NP_001003954.1_HUMAN
ORTHOMCL2180	XP_011507753.1_HUMAN
ORTHOMCL2181	NP_005059.2_HUMAN
ORTHOMCL2182	NP_001094832.1_HUMAN
ORTHOMCL2183	XP_005246783.1_HUMAN
ORTHOMCL2184	NP_001273990.1_HUMAN
ORTHOMCL2185	NP_003044.1_HUMAN
ORTHOMCL2186	NP_001032420.1_HUMAN
ORTHOMCL2187	NP_054735.3_HUMAN
ORTHOMCL2188	NP_443107.1_HUMAN
ORTHOMCL2189	NP_000144.2_HUMAN
ORTHOMCL2190	XP_005258181.1_HUMAN
ORTHOMCL2191	XP_011515926.1_HUMAN
ORTHOMCL2192	NP_112492.2_HUMAN
ORTHOMCL2193	NP_004187.2_HUMAN
ORTHOMCL2194	XP_016879016.1_HUMAN
ORTHOMCL2195	NP_002141.1_HUMAN
ORTHOMCL2198	NP_000963.1_HUMAN
ORTHOMCL2199	NP_057605.3_HUMAN
ORTHOMCL2200	NP_003231.2_HUMAN
ORTHOMCL2201	XP_005271778.1_HUMAN
ORTHOMCL2202	XP_011509708.1_HUMAN
ORTHOMCL2203	NP_689413.1_HUMAN
ORTHOMCL2204	XP_005248267.1_HUMAN
ORTHOMCL2205	NP_005740.1_HUMAN
ORTHOMCL2206	NP_008975.1_HUMAN
ORTHOMCL2207	NP_001265268.1_HUMAN
ORTHOMCL2208	NP_963853.1_HUMAN
ORTHOMCL2209	NP_115659.1_HUMAN
ORTHOMCL2210	NP_001032394.1_HUMAN
ORTHOMCL2212	XP_016859395.1_HUMAN
ORTHOMCL2213	XP_011512303.1_HUMAN
ORTHOMCL2214	NP_689794.1_HUMAN
ORTHOMCL2215	NP_001269095.1_HUMAN
ORTHOMCL2216	NP_003273.1_HUMAN
ORTHOMCL2217	NP_055728.1_HUMAN
ORTHOMCL2218	NP_004198.1_HUMAN
ORTHOMCL2219	NP_056002.2_HUMAN
ORTHOMCL2220	NP_001073903.1_HUMAN
ORTHOMCL2221	NP_059125.2_HUMAN
ORTHOMCL2222	NP_006477.2_HUMAN
ORTHOMCL2223	XP_011537850.1_HUMAN
ORTHOMCL2224	NP_001139730.1_HUMAN
ORTHOMCL2225	NP_116269.3_HUMAN
ORTHOMCL2226	NP_061330.2_HUMAN
ORTHOMCL2228	NP_001075144.2_HUMAN
ORTHOMCL2229	XP_011512643.1_HUMAN
ORTHOMCL2230	XP_011517854.2_HUMAN
ORTHOMCL2231	NP_005576.3_HUMAN
ORTHOMCL2232	XP_005274134.1_HUMAN
ORTHOMCL2233	XP_005246711.1_HUMAN
ORTHOMCL2234	NP_003925.1_HUMAN
ORTHOMCL2235	NP_005276.2_HUMAN
ORTHOMCL2236	NP_000093.1_HUMAN
ORTHOMCL2237	NP_004876.2_HUMAN
ORTHOMCL2238	NP_006127.1_HUMAN
ORTHOMCL2239	NP_004306.3_HUMAN
ORTHOMCL2240	XP_011542295.1_HUMAN
ORTHOMCL2241	NP_057406.2_HUMAN
ORTHOMCL2242	NP_055929.1_HUMAN
ORTHOMCL2243	NP_490595.1_HUMAN
ORTHOMCL2244	NP_036549.2_HUMAN
ORTHOMCL2245	NP_005949.1_HUMAN
ORTHOMCL2246	NP_006179.2_HUMAN
ORTHOMCL2247	NP_002514.1_HUMAN
ORTHOMCL2248	NP_006563.2_HUMAN
ORTHOMCL2249	XP_005255212.1_HUMAN
ORTHOMCL2250	NP_919247.1_HUMAN
ORTHOMCL2251	NP_005683.2_HUMAN
ORTHOMCL2252	NP_057494.3_HUMAN
ORTHOMCL2253	XP_005259248.1_HUMAN
ORTHOMCL2254	NP_689764.3_HUMAN
ORTHOMCL2255	XP_011512982.1_HUMAN
ORTHOMCL2256	NP_057445.4_HUMAN
ORTHOMCL2257	XP_016858120.1_HUMAN
ORTHOMCL2258	NP_001119583.1_HUMAN
ORTHOMCL2259	NP_001149946.1_HUMAN
ORTHOMCL2261	NP_060105.3_HUMAN
ORTHOMCL2262	NP_996670.1_HUMAN
ORTHOMCL2263	XP_005261752.1_HUMAN
ORTHOMCL2264	NP_055275.1_HUMAN
ORTHOMCL2265	NP_115683.3_HUMAN
ORTHOMCL2266	NP_001008540.1_HUMAN
ORTHOMCL2267	NP_006227.1_HUMAN
ORTHOMCL2268	NP_057306.2_HUMAN
ORTHOMCL2269	XP_011513577.1_HUMAN
ORTHOMCL2270	XP_016866575.1_HUMAN
ORTHOMCL2271	NP_001003699.1_HUMAN
ORTHOMCL2272	XP_016878742.1_HUMAN
ORTHOMCL2273	NP_009035.3_HUMAN
ORTHOMCL2275	XP_005251524.1_HUMAN
ORTHOMCL2276	NP_443152.1_HUMAN
ORTHOMCL2277	NP_001121367.1_HUMAN
ORTHOMCL2278	NP_004744.2_HUMAN
ORTHOMCL2279	NP_001001481.2_HUMAN
ORTHOMCL2280	NP_003949.1_HUMAN
ORTHOMCL2281	NP_775840.3_HUMAN
ORTHOMCL2282	NP_000909.2_HUMAN
ORTHOMCL2283	NP_149991.2_HUMAN
ORTHOMCL2284	NP_001308914.1_HUMAN
ORTHOMCL2285	XP_011510983.1_HUMAN
ORTHOMCL2286	NP_079111.1_HUMAN
ORTHOMCL2287	XP_011508075.1_HUMAN
ORTHOMCL2288	NP_001444.2_HUMAN
ORTHOMCL2289	NP_001291744.1_HUMAN
ORTHOMCL2290	XP_005249869.1_HUMAN
ORTHOMCL2292	NP_000719.1_HUMAN
ORTHOMCL2293	NP_001257903.1_HUMAN
ORTHOMCL2294	NP_001139400.1_HUMAN
ORTHOMCL2295	XP_011543206.1_HUMAN
ORTHOMCL2296	NP_004123.1_HUMAN
ORTHOMCL2298	NP_055456.2_HUMAN
ORTHOMCL2299	NP_009004.2_HUMAN
ORTHOMCL2300	NP_004258.2_HUMAN
ORTHOMCL2301	NP_001041.1_HUMAN
ORTHOMCL2302	NP_036311.3_HUMAN
ORTHOMCL2303	NP_542119.1_HUMAN
ORTHOMCL2304	NP_000952.1_HUMAN
ORTHOMCL2305	XP_005269982.1_HUMAN
ORTHOMCL2306	XP_011522496.1_HUMAN
ORTHOMCL2307	XP_011530522.1_HUMAN
ORTHOMCL2308	NP_699196.2_HUMAN
ORTHOMCL2309	NP_001135766.1_HUMAN
ORTHOMCL2310	XP_011524698.1_HUMAN
ORTHOMCL2311	NP_001269219.1_HUMAN
ORTHOMCL2312	NP_778226.1_HUMAN
ORTHOMCL2313	XP_005252904.2_HUMAN
ORTHOMCL2314	NP_060229.3_HUMAN
ORTHOMCL2315	XP_011528820.1_HUMAN
ORTHOMCL2316	XP_016873728.1_HUMAN
ORTHOMCL2317	NP_055921.2_HUMAN
ORTHOMCL2318	NP_001268364.1_HUMAN
ORTHOMCL2319	NP_758515.1_HUMAN
ORTHOMCL2320	NP_036611.2_HUMAN
ORTHOMCL2321	XP_006717383.1_HUMAN
ORTHOMCL2323	NP_006829.1_HUMAN
ORTHOMCL2324	NP_002846.3_HUMAN
ORTHOMCL2325	NP_056281.1_HUMAN
ORTHOMCL2326	XP_016855644.1_HUMAN
ORTHOMCL2327	NP_056379.1_HUMAN
ORTHOMCL2328	NP_112220.2_HUMAN
ORTHOMCL2331	NP_064608.2_HUMAN
ORTHOMCL2332	NP_958839.1_HUMAN
ORTHOMCL2333	NP_065770.1_HUMAN
ORTHOMCL2334	NP_001073895.1_HUMAN
ORTHOMCL2335	XP_016857994.1_HUMAN
ORTHOMCL2337	NP_065137.1_HUMAN
ORTHOMCL2338	NP_066983.1_HUMAN
ORTHOMCL2339	NP_003951.3_HUMAN
ORTHOMCL2340	NP_892010.2_HUMAN
ORTHOMCL2341	NP_071752.3_HUMAN
ORTHOMCL2342	NP_116289.4_HUMAN
ORTHOMCL2343	NP_001186978.2_HUMAN
ORTHOMCL2344	XP_011519668.2_HUMAN
ORTHOMCL2345	NP_001027549.1_HUMAN
ORTHOMCL2346	NP_001271169.1_HUMAN
ORTHOMCL2347	XP_006724518.1_HUMAN
ORTHOMCL2348	NP_056258.1_HUMAN
ORTHOMCL2349	XP_006718419.1_HUMAN
ORTHOMCL2350	NP_001263982.1_HUMAN
ORTHOMCL2351	NP_055639.2_HUMAN
ORTHOMCL2353	NP_006647.3_HUMAN
ORTHOMCL2354	NP_653165.2_HUMAN
ORTHOMCL2358	XP_011522585.1_HUMAN
ORTHOMCL2359	NP_001091875.1_HUMAN
ORTHOMCL2360	NP_001129337.1_HUMAN
