ORTHOMCL420	2077725)]_AMEIU(
ORTHOMCL14315	augustus-utg000202l_pilon-processed-gene-4.3-mRNA-1_PANGA(
ORTHOMCL14316	augustus-utg000203l_pilon-processed-gene-5.7-mRNA-1_PANGA(
ORTHOMCL14317	augustus-utg000227l_pilon-processed-gene-6.5-mRNA-1_PANGA(
ORTHOMCL14318	augustus-utg000231l_pilon-processed-gene-1.1-mRNA-1_PANGA(
ORTHOMCL14319	augustus-utg000251l_pilon-processed-gene-0.3-mRNA-1_PANGA(
ORTHOMCL14320	augustus-utg000253l_pilon-processed-gene-5.1-mRNA-1_PANGA(
ORTHOMCL14321	augustus-utg000259l_pilon-processed-gene-10.25-mRNA-1_PANGA(
ORTHOMCL14322	augustus-utg000263l_pilon-processed-gene-3.14-mRNA-1_PANGA(
ORTHOMCL14323	augustus-utg000328l_pilon-processed-gene-8.10-mRNA-1_PANGA(
ORTHOMCL14324	augustus-utg000334l_pilon-processed-gene-2.1-mRNA-1_PANGA(
ORTHOMCL14325	augustus-utg000334l_pilon-processed-gene-6.45-mRNA-1_PANGA(
ORTHOMCL14326	augustus-utg000341l_pilon-processed-gene-22.16-mRNA-1_PANGA(
ORTHOMCL14327	augustus-utg000352l_pilon-processed-gene-0.27-mRNA-1_PANGA(
ORTHOMCL14328	augustus-utg000377l_pilon-processed-gene-0.11-mRNA-1_PANGA(
ORTHOMCL14329	augustus-utg000387l_pilon-processed-gene-9.9-mRNA-1_PANGA(
ORTHOMCL14330	augustus-utg000389l_pilon-processed-gene-3.0-mRNA-1_PANGA(
ORTHOMCL14331	augustus-utg000389l_pilon-processed-gene-5.4-mRNA-1_PANGA(
ORTHOMCL14332	augustus-utg000391l_pilon-processed-gene-2.13-mRNA-1_PANGA(
ORTHOMCL14333	augustus-utg000406l_pilon-processed-gene-9.23-mRNA-1_PANGA(
ORTHOMCL14334	augustus-utg000429l_pilon-processed-gene-2.35-mRNA-1_PANGA(
ORTHOMCL14335	augustus-utg000444l_pilon-processed-gene-11.20-mRNA-1_PANGA(
ORTHOMCL14336	augustus-utg000457l_pilon-processed-gene-4.17-mRNA-1_PANGA(
ORTHOMCL14337	augustus-utg000477l_pilon-processed-gene-1.4-mRNA-1_PANGA(
ORTHOMCL14338	augustus-utg000478l_pilon-processed-gene-1.5-mRNA-1_PANGA(
ORTHOMCL14339	augustus-utg000503l_pilon-processed-gene-1.18-mRNA-1_PANGA(
ORTHOMCL14340	augustus-utg000522l_pilon-processed-gene-0.2-mRNA-1_PANGA(
ORTHOMCL14341	augustus-utg000546l_pilon-processed-gene-1.13-mRNA-1_PANGA(
ORTHOMCL14342	augustus-utg000887l_pilon-processed-gene-0.11-mRNA-1_PANGA(
ORTHOMCL14343	augustus-utg000910l_pilon-processed-gene-0.0-mRNA-1_PANGA(
ORTHOMCL14344	lcl|CM022752.1_cds_KAF4093654.1_435_AMEIU(
ORTHOMCL14345	lcl|CM022752.1_cds_KAF4093711.1_469_AMEIU(
ORTHOMCL14346	lcl|CM022752.1_cds_KAF4093791.1_533_AMEIU(
ORTHOMCL14347	lcl|CM022752.1_cds_KAF4093805.1_557_AMEIU(
ORTHOMCL14348	lcl|CM022752.1_cds_KAF4093813.1_550_AMEIU(
ORTHOMCL14349	lcl|CM022752.1_cds_KAF4093872.1_656_AMEIU(
ORTHOMCL14350	lcl|CM022752.1_cds_KAF4093884.1_657_AMEIU(
ORTHOMCL14351	lcl|CM022752.1_cds_KAF4093940.1_675_AMEIU(
ORTHOMCL14352	lcl|CM022752.1_cds_KAF4093942.1_679_AMEIU(
ORTHOMCL14353	lcl|CM022752.1_cds_KAF4093994.1_756_AMEIU(
ORTHOMCL14354	lcl|CM022752.1_cds_KAF4094209.1_948_AMEIU(
ORTHOMCL14355	lcl|CM022752.1_cds_KAF4094228.1_951_AMEIU(
ORTHOMCL14356	lcl|CM022752.1_cds_KAF4094230.1_956_AMEIU(
ORTHOMCL14357	lcl|CM022753.1_cds_KAF4092097.1_1383_AMEIU(
ORTHOMCL14358	lcl|CM022753.1_cds_KAF4092149.1_1442_AMEIU(
ORTHOMCL14359	lcl|CM022753.1_cds_KAF4092175.1_1471_AMEIU(
ORTHOMCL14360	lcl|CM022753.1_cds_KAF4092355.1_1638_AMEIU(
ORTHOMCL14361	lcl|CM022753.1_cds_KAF4092360.1_1655_AMEIU(
ORTHOMCL14362	lcl|CM022753.1_cds_KAF4092591.1_1901_AMEIU(
ORTHOMCL14363	lcl|CM022753.1_cds_KAF4092650.1_1933_AMEIU(
ORTHOMCL14364	lcl|CM022753.1_cds_KAF4092709.1_1999_AMEIU(
ORTHOMCL14365	lcl|CM022753.1_cds_KAF4092856.1_2103_AMEIU(
ORTHOMCL14366	lcl|CM022754.1_cds_KAF4090883.1_2576_AMEIU(
ORTHOMCL14367	lcl|CM022754.1_cds_KAF4091061.1_2744_AMEIU(
ORTHOMCL14368	lcl|CM022754.1_cds_KAF4091477.1_3181_AMEIU(
ORTHOMCL14369	lcl|CM022755.1_cds_KAF4089840.1_3650_AMEIU(
ORTHOMCL14370	lcl|CM022755.1_cds_KAF4090291.1_4114_AMEIU(
ORTHOMCL14371	lcl|CM022755.1_cds_KAF4090361.1_4184_AMEIU(
ORTHOMCL14372	lcl|CM022755.1_cds_KAF4090364.1_4191_AMEIU(
ORTHOMCL14373	lcl|CM022755.1_cds_KAF4090562.1_4476_AMEIU(
ORTHOMCL14374	lcl|CM022755.1_cds_KAF4090641.1_4451_AMEIU(
ORTHOMCL14375	lcl|CM022756.1_cds_KAF4088652.1_4719_AMEIU(
ORTHOMCL14376	lcl|CM022756.1_cds_KAF4088890.1_4955_AMEIU(
ORTHOMCL14377	lcl|CM022756.1_cds_KAF4089040.1_5097_AMEIU(
ORTHOMCL14378	lcl|CM022756.1_cds_KAF4089046.1_5107_AMEIU(
ORTHOMCL14379	lcl|CM022756.1_cds_KAF4089167.1_5283_AMEIU(
ORTHOMCL14380	lcl|CM022756.1_cds_KAF4089168.1_5285_AMEIU(
ORTHOMCL14381	lcl|CM022756.1_cds_KAF4089174.1_5264_AMEIU(
ORTHOMCL14382	lcl|CM022756.1_cds_KAF4089228.1_5294_AMEIU(
ORTHOMCL14383	lcl|CM022756.1_cds_KAF4089229.1_5295_AMEIU(
ORTHOMCL14384	lcl|CM022756.1_cds_KAF4089240.1_5307_AMEIU(
ORTHOMCL14385	lcl|CM022756.1_cds_KAF4089268.1_5364_AMEIU(
ORTHOMCL14386	lcl|CM022756.1_cds_KAF4089302.1_5348_AMEIU(
ORTHOMCL14387	lcl|CM022756.1_cds_KAF4089319.1_5383_AMEIU(
ORTHOMCL14388	lcl|CM022756.1_cds_KAF4089323.1_5394_AMEIU(
ORTHOMCL14389	lcl|CM022756.1_cds_KAF4089365.1_5420_AMEIU(
ORTHOMCL14390	lcl|CM022756.1_cds_KAF4089424.1_5542_AMEIU(
ORTHOMCL14391	lcl|CM022756.1_cds_KAF4089437.1_5538_AMEIU(
ORTHOMCL14392	lcl|CM022756.1_cds_KAF4089502.1_5567_AMEIU(
ORTHOMCL14393	lcl|CM022756.1_cds_KAF4089509.1_5585_AMEIU(
ORTHOMCL14394	lcl|CM022756.1_cds_KAF4089549.1_5655_AMEIU(
ORTHOMCL14395	lcl|CM022756.1_cds_KAF4089595.1_5638_AMEIU(
ORTHOMCL14396	lcl|CM022756.1_cds_KAF4089735.1_5803_AMEIU(
ORTHOMCL14397	lcl|CM022757.1_cds_KAF4087535.1_5977_AMEIU(
ORTHOMCL14398	lcl|CM022757.1_cds_KAF4087873.1_6302_AMEIU(
ORTHOMCL14399	lcl|CM022757.1_cds_KAF4087890.1_6320_AMEIU(
ORTHOMCL14400	lcl|CM022757.1_cds_KAF4088102.1_6532_AMEIU(
ORTHOMCL14401	lcl|CM022757.1_cds_KAF4088206.1_6598_AMEIU(
ORTHOMCL14402	lcl|CM022757.1_cds_KAF4088234.1_6640_AMEIU(
ORTHOMCL14403	lcl|CM022757.1_cds_KAF4088417.1_6769_AMEIU(
ORTHOMCL14404	lcl|CM022757.1_cds_KAF4088419.1_6772_AMEIU(
ORTHOMCL14405	lcl|CM022758.1_cds_KAF4086544.1_7046_AMEIU(
ORTHOMCL14406	lcl|CM022758.1_cds_KAF4086558.1_7060_AMEIU(
ORTHOMCL14407	lcl|CM022758.1_cds_KAF4086605.1_7104_AMEIU(
ORTHOMCL14408	lcl|CM022759.1_cds_KAF4085672.1_8122_AMEIU(
ORTHOMCL14409	lcl|CM022759.1_cds_KAF4085773.1_8215_AMEIU(
ORTHOMCL14410	lcl|CM022759.1_cds_KAF4086226.1_8714_AMEIU(
ORTHOMCL14411	lcl|CM022760.1_cds_KAF4084578.1_9012_AMEIU(
ORTHOMCL14412	lcl|CM022760.1_cds_KAF4084758.1_9211_AMEIU(
ORTHOMCL14413	lcl|CM022760.1_cds_KAF4085095.1_9539_AMEIU(
ORTHOMCL14414	lcl|CM022760.1_cds_KAF4085211.1_9638_AMEIU(
ORTHOMCL14415	lcl|CM022760.1_cds_KAF4085246.1_9682_AMEIU(
ORTHOMCL14416	lcl|CM022760.1_cds_KAF4085297.1_9711_AMEIU(
ORTHOMCL14417	lcl|CM022761.1_cds_KAF4083775.1_10055_AMEIU(
ORTHOMCL14418	lcl|CM022761.1_cds_KAF4083910.1_10198_AMEIU(
ORTHOMCL14419	lcl|CM022761.1_cds_KAF4084013.1_10301_AMEIU(
ORTHOMCL14420	lcl|CM022761.1_cds_KAF4084169.1_10483_AMEIU(
ORTHOMCL14421	lcl|CM022761.1_cds_KAF4084306.1_10599_AMEIU(
ORTHOMCL14422	lcl|CM022761.1_cds_KAF4084438.1_10725_AMEIU(
ORTHOMCL14423	lcl|CM022762.1_cds_KAF4082880.1_10968_AMEIU(
ORTHOMCL14424	lcl|CM022762.1_cds_KAF4082962.1_11040_AMEIU(
ORTHOMCL14425	lcl|CM022762.1_cds_KAF4082985.1_11055_AMEIU(
ORTHOMCL14426	lcl|CM022762.1_cds_KAF4083016.1_11099_AMEIU(
ORTHOMCL14427	lcl|CM022762.1_cds_KAF4083273.1_11359_AMEIU(
ORTHOMCL14428	lcl|CM022762.1_cds_KAF4083326.1_11410_AMEIU(
ORTHOMCL14429	lcl|CM022762.1_cds_KAF4083455.1_11533_AMEIU(
ORTHOMCL14430	lcl|CM022762.1_cds_KAF4083461.1_11545_AMEIU(
ORTHOMCL14431	lcl|CM022762.1_cds_KAF4083574.1_11639_AMEIU(
ORTHOMCL14432	lcl|CM022763.1_cds_KAF4081874.1_11776_AMEIU(
ORTHOMCL14433	lcl|CM022763.1_cds_KAF4081924.1_11832_AMEIU(
ORTHOMCL14434	lcl|CM022763.1_cds_KAF4081962.1_11874_AMEIU(
ORTHOMCL14435	lcl|CM022763.1_cds_KAF4082277.1_12186_AMEIU(
ORTHOMCL14436	lcl|CM022763.1_cds_KAF4082310.1_12214_AMEIU(
ORTHOMCL14437	lcl|CM022763.1_cds_KAF4082331.1_12241_AMEIU(
ORTHOMCL14438	lcl|CM022763.1_cds_KAF4082345.1_12269_AMEIU(
ORTHOMCL14439	lcl|CM022763.1_cds_KAF4082383.1_12285_AMEIU(
ORTHOMCL14440	lcl|CM022763.1_cds_KAF4082564.1_12481_AMEIU(
ORTHOMCL14441	lcl|CM022763.1_cds_KAF4082603.1_12505_AMEIU(
ORTHOMCL14442	lcl|CM022764.1_cds_KAF4081009.1_12730_AMEIU(
ORTHOMCL14443	lcl|CM022764.1_cds_KAF4081139.1_12857_AMEIU(
ORTHOMCL14444	lcl|CM022764.1_cds_KAF4081293.1_13004_AMEIU(
ORTHOMCL14445	lcl|CM022764.1_cds_KAF4081298.1_13016_AMEIU(
ORTHOMCL14446	lcl|CM022764.1_cds_KAF4081304.1_13032_AMEIU(
ORTHOMCL14447	lcl|CM022764.1_cds_KAF4081318.1_13035_AMEIU(
ORTHOMCL14448	lcl|CM022764.1_cds_KAF4081603.1_13350_AMEIU(
ORTHOMCL14449	lcl|CM022764.1_cds_KAF4081653.1_13372_AMEIU(
ORTHOMCL14450	lcl|CM022764.1_cds_KAF4081713.1_13439_AMEIU(
ORTHOMCL14451	lcl|CM022764.1_cds_KAF4081734.1_13456_AMEIU(
ORTHOMCL14452	lcl|CM022764.1_cds_KAF4081767.1_13477_AMEIU(
ORTHOMCL14453	lcl|CM022765.1_cds_KAF4080133.1_13667_AMEIU(
ORTHOMCL14454	lcl|CM022765.1_cds_KAF4080148.1_13679_AMEIU(
ORTHOMCL14455	lcl|CM022765.1_cds_KAF4080475.1_14004_AMEIU(
ORTHOMCL14456	lcl|CM022765.1_cds_KAF4080504.1_14034_AMEIU(
ORTHOMCL14457	lcl|CM022765.1_cds_KAF4080566.1_14101_AMEIU(
ORTHOMCL14458	lcl|CM022765.1_cds_KAF4080669.1_14210_AMEIU(
ORTHOMCL14459	lcl|CM022765.1_cds_KAF4080911.1_14425_AMEIU(
ORTHOMCL14460	lcl|CM022766.1_cds_KAF4079618.1_14711_AMEIU(
ORTHOMCL14461	lcl|CM022766.1_cds_KAF4079855.1_14961_AMEIU(
ORTHOMCL14462	lcl|CM022767.1_cds_KAF4078841.1_15224_AMEIU(
ORTHOMCL14463	lcl|CM022767.1_cds_KAF4078880.1_15262_AMEIU(
ORTHOMCL14464	lcl|CM022767.1_cds_KAF4079109.1_15481_AMEIU(
ORTHOMCL14465	lcl|CM022768.1_cds_KAF4077822.1_15766_AMEIU(
ORTHOMCL14466	lcl|CM022768.1_cds_KAF4077870.1_15825_AMEIU(
ORTHOMCL14467	lcl|CM022768.1_cds_KAF4077891.1_15833_AMEIU(
ORTHOMCL14468	lcl|CM022768.1_cds_KAF4077924.1_15870_AMEIU(
ORTHOMCL14469	lcl|CM022768.1_cds_KAF4078407.1_16350_AMEIU(
ORTHOMCL14470	lcl|CM022768.1_cds_KAF4078414.1_16358_AMEIU(
ORTHOMCL14471	lcl|CM022768.1_cds_KAF4078463.1_16412_AMEIU(
ORTHOMCL14472	lcl|CM022768.1_cds_KAF4078468.1_16418_AMEIU(
ORTHOMCL14473	lcl|CM022768.1_cds_KAF4078482.1_16436_AMEIU(
ORTHOMCL14474	lcl|CM022768.1_cds_KAF4078549.1_16497_AMEIU(
ORTHOMCL14475	lcl|CM022769.1_cds_KAF4077106.1_16837_AMEIU(
ORTHOMCL14476	lcl|CM022769.1_cds_KAF4077208.1_16942_AMEIU(
ORTHOMCL14477	lcl|CM022769.1_cds_KAF4077269.1_17004_AMEIU(
ORTHOMCL14478	lcl|CM022769.1_cds_KAF4077532.1_17260_AMEIU(
ORTHOMCL14479	lcl|CM022769.1_cds_KAF4077773.1_17509_AMEIU(
ORTHOMCL14480	lcl|CM022770.1_cds_KAF4076240.1_17544_AMEIU(
ORTHOMCL14481	lcl|CM022770.1_cds_KAF4076256.1_17568_AMEIU(
ORTHOMCL14482	lcl|CM022770.1_cds_KAF4076343.1_17656_AMEIU(
ORTHOMCL14483	lcl|CM022770.1_cds_KAF4076362.1_17668_AMEIU(
ORTHOMCL14484	lcl|CM022770.1_cds_KAF4076374.1_17690_AMEIU(
ORTHOMCL14485	lcl|CM022770.1_cds_KAF4076476.1_17789_AMEIU(
ORTHOMCL14486	lcl|CM022770.1_cds_KAF4076477.1_17790_AMEIU(
ORTHOMCL14487	lcl|CM022771.1_cds_KAF4075938.1_18578_AMEIU(
ORTHOMCL14488	lcl|CM022771.1_cds_KAF4076037.1_18682_AMEIU(
ORTHOMCL14489	lcl|CM022771.1_cds_KAF4076046.1_18680_AMEIU(
ORTHOMCL14490	lcl|CM022771.1_cds_KAF4076176.1_18808_AMEIU(
ORTHOMCL14491	lcl|CM022772.1_cds_KAF4074971.1_19005_AMEIU(
ORTHOMCL14492	lcl|CM022772.1_cds_KAF4074994.1_19027_AMEIU(
ORTHOMCL14493	lcl|CM022772.1_cds_KAF4075094.1_19128_AMEIU(
ORTHOMCL14494	lcl|CM022772.1_cds_KAF4075231.1_19252_AMEIU(
ORTHOMCL14495	lcl|CM022772.1_cds_KAF4075484.1_19517_AMEIU(
ORTHOMCL14496	lcl|CM022772.1_cds_KAF4075529.1_19543_AMEIU(
ORTHOMCL14497	lcl|CM022772.1_cds_KAF4075554.1_19570_AMEIU(
ORTHOMCL14498	lcl|CM022773.1_cds_KAF4074278.1_19769_AMEIU(
ORTHOMCL14499	lcl|CM022773.1_cds_KAF4074487.1_19976_AMEIU(
ORTHOMCL14500	lcl|CM022773.1_cds_KAF4074548.1_20037_AMEIU(
ORTHOMCL14501	lcl|CM022773.1_cds_KAF4074607.1_20096_AMEIU(
ORTHOMCL14502	lcl|CM022773.1_cds_KAF4074812.1_20324_AMEIU(
ORTHOMCL14503	lcl|CM022774.1_cds_KAF4073542.1_20389_AMEIU(
ORTHOMCL14504	lcl|CM022774.1_cds_KAF4073754.1_20589_AMEIU(
ORTHOMCL14505	lcl|CM022774.1_cds_KAF4073783.1_20630_AMEIU(
ORTHOMCL14506	lcl|CM022774.1_cds_KAF4073959.1_20804_AMEIU(
ORTHOMCL14507	lcl|CM022774.1_cds_KAF4074104.1_20953_AMEIU(
ORTHOMCL14508	lcl|CM022775.1_cds_KAF4072769.1_20977_AMEIU(
ORTHOMCL14509	lcl|CM022775.1_cds_KAF4072814.1_21041_AMEIU(
ORTHOMCL14510	lcl|CM022775.1_cds_KAF4072843.1_21069_AMEIU(
ORTHOMCL14511	lcl|CM022775.1_cds_KAF4072877.1_21103_AMEIU(
ORTHOMCL14512	lcl|CM022775.1_cds_KAF4072991.1_21209_AMEIU(
ORTHOMCL14513	lcl|CM022775.1_cds_KAF4072992.1_21210_AMEIU(
ORTHOMCL14514	lcl|CM022775.1_cds_KAF4072994.1_21212_AMEIU(
ORTHOMCL14515	lcl|CM022775.1_cds_KAF4073039.1_21271_AMEIU(
ORTHOMCL14516	lcl|CM022776.1_cds_KAF4072176.1_21762_AMEIU(
ORTHOMCL14517	lcl|CM022776.1_cds_KAF4072429.1_21986_AMEIU(
ORTHOMCL14518	lcl|CM022776.1_cds_KAF4072659.1_22234_AMEIU(
ORTHOMCL14519	lcl|CM022777.1_cds_KAF4071922.1_22490_AMEIU(
ORTHOMCL14520	lcl|CM022777.1_cds_KAF4071955.1_22521_AMEIU(
ORTHOMCL14521	lcl|CM022778.1_cds_KAF4071286.1_22726_AMEIU(
ORTHOMCL14522	lcl|CM022778.1_cds_KAF4071391.1_22847_AMEIU(
ORTHOMCL14523	lcl|CM022778.1_cds_KAF4071475.1_22928_AMEIU(
ORTHOMCL14524	lcl|CM022778.1_cds_KAF4071548.1_23001_AMEIU(
ORTHOMCL14525	lcl|CM022779.1_cds_KAF4070747.1_23221_AMEIU(
ORTHOMCL14526	lcl|CM022779.1_cds_KAF4070816.1_23292_AMEIU(
ORTHOMCL14527	lcl|CM022779.1_cds_KAF4070838.1_23318_AMEIU(
ORTHOMCL14528	lcl|CM022779.1_cds_KAF4070897.1_23376_AMEIU(
ORTHOMCL14529	lcl|CM022779.1_cds_KAF4070956.1_23428_AMEIU(
ORTHOMCL14530	lcl|CM022779.1_cds_KAF4071001.1_23483_AMEIU(
ORTHOMCL14531	lcl|CM022779.1_cds_KAF4071003.1_23485_AMEIU(
ORTHOMCL14532	lcl|CM022779.1_cds_KAF4071006.1_23490_AMEIU(
ORTHOMCL14533	lcl|CM022779.1_cds_KAF4071043.1_23526_AMEIU(
ORTHOMCL14534	lcl|CM022779.1_cds_KAF4071081.1_23567_AMEIU(
ORTHOMCL14535	lcl|CM022779.1_cds_KAF4071172.1_23653_AMEIU(
ORTHOMCL14536	lcl|CM022780.1_cds_KAF4070352.1_23794_AMEIU(
ORTHOMCL14537	lcl|CM022780.1_cds_KAF4070537.1_23986_AMEIU(
ORTHOMCL14538	lcl|CP034975.1_cds_TNN03445.1_474_TAKIF(
ORTHOMCL14539	lcl|CP034976.1_cds_TNN02061.1_9547_TAKIF(
ORTHOMCL14540	lcl|CP034980.1_cds_TNM98756.1_13319_TAKIF(
ORTHOMCL14541	lcl|CP034984.1_cds_TNM95687.1_16769_TAKIF(
ORTHOMCL14542	lcl|CP034990.1_cds_TNM90641.1_2930_TAKIF(
ORTHOMCL14543	lcl|CP034990.1_cds_TNM91013.1_3302_TAKIF(
ORTHOMCL14544	lcl|CP034994.1_cds_TNM86856.1_7085_TAKIF(
ORTHOMCL14545	lcl|VCAZ01000005.1_cds_TSK20277.1_13313_BAGAR(
ORTHOMCL14546	lcl|VCAZ01000014.1_cds_TSK49661.1_4952_BAGAR(
ORTHOMCL14547	lcl|VCAZ01000037.1_cds_TSL82597.1_9317_BAGAR(
ORTHOMCL14548	lcl|VCAZ01000191.1_cds_TTE81779.1_4801_BAGAR(
ORTHOMCL14549	lcl|VCAZ01000236.1_cds_TTL72952.1_6646_BAGAR(
ORTHOMCL14550	maker-utg000178l_pilon-augustus-gene-2.13-mRNA-1_PANGA(
ORTHOMCL14551	maker-utg000270l_pilon-augustus-gene-0.22-mRNA-1_PANGA(
ORTHOMCL14552	rna-XM_017451608.1_ICTAL(
ORTHOMCL14553	rna-XM_017454305.1_ICTAL(
ORTHOMCL14554	rna-XM_017455954.1_ICTAL(
ORTHOMCL14555	rna-XM_017461987.1_ICTAL(
ORTHOMCL14556	rna-XM_017465220.1_ICTAL(
ORTHOMCL14557	12756560)]_AMEIU(
ORTHOMCL14561	18304505)]_AMEIU(
ORTHOMCL14563	18670074))]_AMEIU(
ORTHOMCL14565	22605139)]_AMEIU(
ORTHOMCL14566	22706061)]_AMEIU(
ORTHOMCL14567	24071260)]_AMEIU(
ORTHOMCL14570	29117000)]_AMEIU(
ORTHOMCL14571	31934287)]_AMEIU(
ORTHOMCL15074	augustus-utg000001l_pilon-processed-gene-22.11-mRNA-1_PANGA(
ORTHOMCL15075	augustus-utg000001l_pilon-processed-gene-24.15-mRNA-1_PANGA(
ORTHOMCL15076	augustus-utg000003l_pilon-processed-gene-1.1-mRNA-1_PANGA(
ORTHOMCL15077	augustus-utg000003l_pilon-processed-gene-2.6-mRNA-1_PANGA(
ORTHOMCL15078	augustus-utg000005l_pilon-processed-gene-6.4-mRNA-1_PANGA(
ORTHOMCL15079	augustus-utg000007l_pilon-processed-gene-6.12-mRNA-1_PANGA(
ORTHOMCL15080	augustus-utg000015l_pilon-processed-gene-4.9-mRNA-1_PANGA(
ORTHOMCL15081	augustus-utg000019l_pilon-processed-gene-1.4-mRNA-1_PANGA(
ORTHOMCL15082	augustus-utg000022l_pilon-processed-gene-6.3-mRNA-1_PANGA(
ORTHOMCL15083	augustus-utg000033l_pilon-processed-gene-12.5-mRNA-1_PANGA(
ORTHOMCL15084	augustus-utg000033l_pilon-processed-gene-6.5-mRNA-1_PANGA(
ORTHOMCL15085	augustus-utg000035l_pilon-processed-gene-11.3-mRNA-1_PANGA(
ORTHOMCL15086	augustus-utg000035l_pilon-processed-gene-7.13-mRNA-1_PANGA(
ORTHOMCL15087	augustus-utg000037l_pilon-processed-gene-20.1-mRNA-1_PANGA(
ORTHOMCL15088	augustus-utg000038l_pilon-processed-gene-13.9-mRNA-1_PANGA(
ORTHOMCL15089	augustus-utg000040l_pilon-processed-gene-25.8-mRNA-1_PANGA(
ORTHOMCL15090	augustus-utg000041l_pilon-processed-gene-31.1-mRNA-1_PANGA(
ORTHOMCL15091	augustus-utg000041l_pilon-processed-gene-34.36-mRNA-1_PANGA(
ORTHOMCL15092	augustus-utg000042l_pilon-processed-gene-1.1-mRNA-1_PANGA(
ORTHOMCL15093	augustus-utg000047l_pilon-processed-gene-12.11-mRNA-1_PANGA(
ORTHOMCL15094	augustus-utg000053l_pilon-processed-gene-0.3-mRNA-1_PANGA(
ORTHOMCL15095	augustus-utg000059l_pilon-processed-gene-13.10-mRNA-1_PANGA(
ORTHOMCL15096	augustus-utg000059l_pilon-processed-gene-2.8-mRNA-1_PANGA(
ORTHOMCL15097	augustus-utg000090l_pilon-processed-gene-4.17-mRNA-1_PANGA(
ORTHOMCL15098	augustus-utg000092l_pilon-processed-gene-11.0-mRNA-1_PANGA(
ORTHOMCL15099	augustus-utg000092l_pilon-processed-gene-6.5-mRNA-1_PANGA(
ORTHOMCL15100	augustus-utg000092l_pilon-processed-gene-6.7-mRNA-1_PANGA(
ORTHOMCL15101	augustus-utg000092l_pilon-processed-gene-6.9-mRNA-1_PANGA(
ORTHOMCL15102	augustus-utg000094l_pilon-processed-gene-17.6-mRNA-1_PANGA(
ORTHOMCL15103	augustus-utg000095l_pilon-processed-gene-8.4-mRNA-1_PANGA(
ORTHOMCL15104	augustus-utg000112l_pilon-processed-gene-2.18-mRNA-1_PANGA(
ORTHOMCL15105	augustus-utg000112l_pilon-processed-gene-6.7-mRNA-1_PANGA(
ORTHOMCL15106	augustus-utg000122l_pilon-processed-gene-7.26-mRNA-1_PANGA(
ORTHOMCL15107	augustus-utg000122l_pilon-processed-gene-7.39-mRNA-1_PANGA(
ORTHOMCL15108	augustus-utg000123l_pilon-processed-gene-4.6-mRNA-1_PANGA(
ORTHOMCL15109	augustus-utg000162l_pilon-processed-gene-0.4-mRNA-1_PANGA(
ORTHOMCL15110	augustus-utg000169l_pilon-processed-gene-21.5-mRNA-1_PANGA(
ORTHOMCL15111	augustus-utg000182l_pilon-processed-gene-0.6-mRNA-1_PANGA(
ORTHOMCL15112	augustus-utg000182l_pilon-processed-gene-12.6-mRNA-1_PANGA(
ORTHOMCL15113	augustus-utg000202l_pilon-processed-gene-7.8-mRNA-1_PANGA(
ORTHOMCL15114	augustus-utg000211l_pilon-processed-gene-4.9-mRNA-1_PANGA(
ORTHOMCL15115	augustus-utg000224l_pilon-processed-gene-4.1-mRNA-1_PANGA(
ORTHOMCL15116	augustus-utg000228l_pilon-processed-gene-4.1-mRNA-1_PANGA(
ORTHOMCL15117	augustus-utg000231l_pilon-processed-gene-5.0-mRNA-1_PANGA(
ORTHOMCL15118	augustus-utg000236l_pilon-processed-gene-3.5-mRNA-1_PANGA(
ORTHOMCL15119	augustus-utg000244l_pilon-processed-gene-3.3-mRNA-1_PANGA(
ORTHOMCL15120	augustus-utg000246l_pilon-processed-gene-3.3-mRNA-1_PANGA(
ORTHOMCL15121	augustus-utg000247l_pilon-processed-gene-5.6-mRNA-1_PANGA(
ORTHOMCL15122	augustus-utg000249l_pilon-processed-gene-2.6-mRNA-1_PANGA(
ORTHOMCL15123	augustus-utg000280l_pilon-processed-gene-0.10-mRNA-1_PANGA(
ORTHOMCL15124	augustus-utg000287l_pilon-processed-gene-2.2-mRNA-1_PANGA(
ORTHOMCL15125	augustus-utg000309l_pilon-processed-gene-7.2-mRNA-1_PANGA(
ORTHOMCL15126	augustus-utg000311l_pilon-processed-gene-12.4-mRNA-1_PANGA(
ORTHOMCL15127	augustus-utg000334l_pilon-processed-gene-12.5-mRNA-1_PANGA(
ORTHOMCL15128	augustus-utg000334l_pilon-processed-gene-18.5-mRNA-1_PANGA(
ORTHOMCL15129	augustus-utg000334l_pilon-processed-gene-3.5-mRNA-1_PANGA(
ORTHOMCL15130	augustus-utg000338l_pilon-processed-gene-1.7-mRNA-1_PANGA(
ORTHOMCL15131	augustus-utg000338l_pilon-processed-gene-2.1-mRNA-1_PANGA(
ORTHOMCL15132	augustus-utg000341l_pilon-processed-gene-15.14-mRNA-1_PANGA(
ORTHOMCL15133	augustus-utg000341l_pilon-processed-gene-9.2-mRNA-1_PANGA(
ORTHOMCL15134	augustus-utg000384l_pilon-processed-gene-10.7-mRNA-1_PANGA(
ORTHOMCL15135	augustus-utg000391l_pilon-processed-gene-5.10-mRNA-1_PANGA(
ORTHOMCL15136	augustus-utg000395l_pilon-processed-gene-3.6-mRNA-1_PANGA(
ORTHOMCL15137	augustus-utg000395l_pilon-processed-gene-8.12-mRNA-1_PANGA(
