ORTHOMCL7	ENSMUSP00000064211_MOUSE
ORTHOMCL18915	ENSMUSP00000073172_MOUSE
ORTHOMCL18916	ENSMUSP00000073251_MOUSE
ORTHOMCL18918	ENSMUSP00000073352_MOUSE
ORTHOMCL18920	ENSMUSP00000073620_MOUSE
ORTHOMCL18922	ENSMUSP00000073689_MOUSE
ORTHOMCL18925	ENSMUSP00000073826_MOUSE
ORTHOMCL18933	ENSMUSP00000074433_MOUSE
ORTHOMCL18937	ENSMUSP00000074510_MOUSE
ORTHOMCL18940	ENSMUSP00000074583_MOUSE
ORTHOMCL18949	ENSMUSP00000075135_MOUSE
ORTHOMCL18950	ENSMUSP00000075248_MOUSE
ORTHOMCL18960	ENSMUSP00000075935_MOUSE
ORTHOMCL18966	ENSMUSP00000076322_MOUSE
ORTHOMCL18973	ENSMUSP00000076671_MOUSE
ORTHOMCL18974	ENSMUSP00000076752_MOUSE
ORTHOMCL18986	ENSMUSP00000077246_MOUSE
ORTHOMCL18988	ENSMUSP00000077390_MOUSE
ORTHOMCL18997	ENSMUSP00000078343_MOUSE
ORTHOMCL19003	ENSMUSP00000079048_MOUSE
ORTHOMCL19010	ENSMUSP00000079498_MOUSE
ORTHOMCL19012	ENSMUSP00000079555_MOUSE
ORTHOMCL19021	ENSMUSP00000080256_MOUSE
ORTHOMCL19035	ENSMUSP00000081776_MOUSE
ORTHOMCL19037	ENSMUSP00000081873_MOUSE
ORTHOMCL19038	ENSMUSP00000081877_MOUSE
ORTHOMCL19050	ENSMUSP00000083277_MOUSE
ORTHOMCL19069	ENSMUSP00000084961_MOUSE
ORTHOMCL19082	ENSMUSP00000085942_MOUSE
ORTHOMCL19084	ENSMUSP00000086311_MOUSE
ORTHOMCL19088	ENSMUSP00000086520_MOUSE
ORTHOMCL19092	ENSMUSP00000086852_MOUSE
ORTHOMCL19110	ENSMUSP00000088202_MOUSE
ORTHOMCL19129	ENSMUSP00000090956_MOUSE
ORTHOMCL19155	ENSMUSP00000091906_MOUSE
ORTHOMCL19158	ENSMUSP00000091952_MOUSE
ORTHOMCL19160	ENSMUSP00000092054_MOUSE
ORTHOMCL19175	ENSMUSP00000092579_MOUSE
ORTHOMCL19190	ENSMUSP00000093080_MOUSE
ORTHOMCL19210	ENSMUSP00000093912_MOUSE
ORTHOMCL19223	ENSMUSP00000094192_MOUSE
ORTHOMCL19228	ENSMUSP00000094943_MOUSE
ORTHOMCL19241	ENSMUSP00000095555_MOUSE
ORTHOMCL19242	ENSMUSP00000095566_MOUSE
ORTHOMCL19253	ENSMUSP00000095790_MOUSE
ORTHOMCL19254	ENSMUSP00000095796_MOUSE
ORTHOMCL19255	ENSMUSP00000095802_MOUSE
ORTHOMCL19260	ENSMUSP00000095819_MOUSE
ORTHOMCL19284	ENSMUSP00000096724_MOUSE
ORTHOMCL19292	ENSMUSP00000097024_MOUSE
ORTHOMCL19296	ENSMUSP00000097259_MOUSE
ORTHOMCL19301	ENSMUSP00000097398_MOUSE
ORTHOMCL19304	ENSMUSP00000097437_MOUSE
ORTHOMCL19333	ENSMUSP00000098940_MOUSE
ORTHOMCL19339	ENSMUSP00000099103_MOUSE
ORTHOMCL19366	ENSMUSP00000100101_MOUSE
ORTHOMCL19367	ENSMUSP00000100110_MOUSE
ORTHOMCL19368	ENSMUSP00000100345_MOUSE
ORTHOMCL19369	ENSMUSP00000100462_MOUSE
ORTHOMCL19374	ENSMUSP00000100592_MOUSE
ORTHOMCL19385	ENSMUSP00000101304_MOUSE
ORTHOMCL19417	ENSMUSP00000102499_MOUSE
ORTHOMCL19454	ENSMUSP00000103984_MOUSE
ORTHOMCL19552	ENSMUSP00000108375_MOUSE
ORTHOMCL19581	ENSMUSP00000109232_MOUSE
ORTHOMCL19632	ENSMUSP00000111433_MOUSE
ORTHOMCL19645	ENSMUSP00000112522_MOUSE
ORTHOMCL19662	ENSMUSP00000113033_MOUSE
ORTHOMCL19687	ENSMUSP00000114048_MOUSE
ORTHOMCL19711	ENSMUSP00000117032_MOUSE
ORTHOMCL19719	ENSMUSP00000118385_MOUSE
ORTHOMCL19728	ENSMUSP00000119300_MOUSE
ORTHOMCL19737	ENSMUSP00000120518_MOUSE
ORTHOMCL19768	ENSMUSP00000123949_MOUSE
ORTHOMCL19818	ENSMUSP00000126894_MOUSE
ORTHOMCL19855	ENSMUSP00000128371_MOUSE
ORTHOMCL19857	ENSMUSP00000128539_MOUSE
ORTHOMCL19910	ENSMUSP00000130986_MOUSE
ORTHOMCL19967	ENSMUSP00000133675_MOUSE
